CLE;AB;BA;BP;BP_AB;BP_PM;H;PB;PM;PM_AB;PT;PT_AB;PT_PM;TO;BOG;ALTI;D_1A;D_1AR;D_R;D_2;D_4GA;D_7;D_8;D_8AR;D_WA;ELE;P_DEF;ARI;DWFC;EVA;GDD;MAT;PRECT;PRECU;VPD;AG;BR;FT;HF;HL;LOG;SBOM;SBOS;SBON;O1700;O1880;O1900;O1920
1054;5.10;0.00;3.55;2.63;3.94;11.67;6.41;31.45;24.73;0.08;0.08;1.16;0.00;1.62;406.00;15.91;16.48;44.89;15.35;0.00;0.00;0.00;0.00;6.82;0.00;51;4;10;4;6;8;7;5;7;0.00;0.62;0.00;0.000;0.00;0.31;0.00;0.00;0.00;4.17;8.34;40.27;45.83
1055;0.65;0.00;1.27;0.10;3.51;22.69;0.00;42.13;17.23;0.46;0.00;1.85;0.00;1.95;501.92;12.39;9.60;66.32;2.79;0.00;0.17;0.00;0.00;8.73;113.81;31;3;9;4;5;7;9;6;6;0.00;0.26;1.00;0.000;0.00;0.87;0.00;0.00;0.90;13.68;14.95;12.82;47.44
1056;0.00;0.00;5.40;0.00;12.07;12.36;0.00;42.47;6.96;2.41;0.14;10.37;0.00;1.70;345.00;13.00;7.00;61.00;9.00;0.00;0.00;0.00;0.00;3.00;0.00;44;4;10;5;7;8;8;5;7;0.00;0.57;0.00;0.000;0.00;0.14;0.00;0.00;1.00;3.51;2.63;2.63;75.44
1057;4.60;0.00;0.00;0.00;0.00;24.21;0.09;19.15;39.79;0.00;0.00;0.00;0.00;1.57;632.13;11.38;18.77;64.00;1.23;0.00;0.00;0.00;0.00;4.62;97.49;27;3;8;4;5;7;9;7;6;0.00;1.70;1.00;0.000;0.00;5.91;0.00;0.00;0.00;61.75;18.04;12.57;6.56
1058;2.55;0.00;0.00;0.00;0.51;10.09;0.00;22.22;26.95;0.00;0.00;0.00;0.00;0.64;484.00;38.38;14.14;31.31;13.13;0.00;0.00;0.00;0.00;1.01;0.00;50;4;9;4;6;7;9;6;7;0.00;15.33;0.00;0.027;0.00;39.21;0.00;0.00;0.00;17.24;20.68;27.58;20.69
1059;2.85;0.00;0.10;0.16;0.33;10.92;0.03;47.03;26.93;0.02;0.05;0.00;0.00;0.90;525.53;17.12;15.35;56.32;4.73;0.00;0.35;0.00;0.00;6.14;118.98;53;3;9;4;6;7;9;6;6;0.00;0.96;1.00;0.000;1.00;4.89;0.00;0.00;0.18;69.03;16.47;10.23;3.69
1060;8.76;0.00;0.27;1.50;0.55;17.10;0.00;29.55;38.17;0.00;0.00;0.00;0.00;0.68;480.00;23.00;12.00;46.00;12.00;0.00;0.00;0.00;0.00;7.00;0.00;53;4;9;5;6;8;8;5;7;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.50;100.00;0.00;0.00;0.00
1061;5.63;0.00;4.58;0.29;0.83;25.42;0.00;22.11;27.44;1.62;0.00;3.97;0.00;1.59;477.64;4.90;14.99;72.75;1.36;0.00;1.63;0.00;0.00;3.81;134.44;48;3;9;4;5;7;8;6;6;0.00;1.62;0.00;0.000;0.00;0.04;0.00;0.00;0.14;44.44;13.89;12.50;20.83
1062;6.90;0.00;4.98;2.42;3.84;16.36;0.78;29.45;19.70;1.14;0.14;5.97;0.00;0.21;228.40;6.95;8.02;63.10;11.23;0.00;0.53;0.00;0.00;5.35;0.00;64;5;11;5;8;9;7;4;7;0.00;1.00;0.00;0.000;0.00;0.07;0.00;0.00;0.50;32.00;20.00;24.00;8.00
1063;16.56;0.00;1.79;7.06;0.16;13.07;0.00;9.66;29.79;0.24;2.52;0.00;0.00;1.22;304.00;9.35;12.87;47.95;21.05;0.00;0.00;0.00;0.00;4.68;0.00;51;6;11;5;8;9;8;4;7;0.00;0.73;1.00;13.265;0.00;43.02;0.08;0.00;1.25;7.10;9.93;20.57;38.30
1064;20.23;0.00;0.00;0.65;0.16;20.80;0.00;11.91;25.94;0.00;0.00;0.00;0.00;1.55;449.13;6.94;16.76;64.16;2.89;0.00;1.16;0.00;0.00;5.78;126.40;45;4;10;5;6;8;8;6;7;0.00;0.90;0.00;0.000;0.00;36.22;0.00;0.00;0.00;54.11;8.20;19.68;13.12
1065;5.77;0.00;0.00;2.39;1.09;20.30;0.00;14.33;22.29;0.00;0.00;0.20;0.00;0.10;286.00;4.17;5.56;59.03;0.69;0.00;0.00;0.00;0.00;29.86;0.00;40;6;11;6;8;9;7;4;7;0.00;0.40;0.00;0.002;0.00;6.37;0.00;0.00;1.00;16.17;13.23;33.83;33.83
1066;7.06;0.00;0.74;0.78;1.21;24.79;0.00;17.34;28.76;0.74;0.18;0.92;0.00;2.59;321.12;3.89;17.62;68.91;1.56;0.00;1.55;0.00;0.00;6.22;97.58;35;5;10;5;7;8;8;5;7;0.00;0.71;0.00;1.241;0.00;16.38;0.18;0.00;1.00;27.87;11.07;13.74;37.79
1067;3.83;0.00;0.81;1.17;1.06;29.13;0.00;24.96;25.88;0.15;0.00;0.68;0.00;1.81;420.50;7.50;11.00;71.61;0.64;0.00;0.96;0.00;0.00;8.29;107.56;38;4;10;5;6;8;8;5;7;0.00;0.26;0.00;0.000;0.00;5.19;0.00;0.00;0.10;46.31;15.44;16.14;16.84
1068;5.68;0.00;6.92;2.61;5.68;20.56;0.47;22.99;11.07;4.83;0.51;4.66;0.00;0.60;273.00;4.94;5.86;57.41;0.93;0.00;0.00;0.62;0.00;10.80;0.00;51;5;10;5;8;8;7;4;7;0.00;0.00;0.00;0.879;0.00;6.67;0.09;0.00;0.50;2.04;2.04;67.35;16.32
1069;12.33;0.00;0.08;0.40;0.33;22.27;0.00;18.69;33.79;0.00;0.00;0.02;0.00;1.66;328.32;4.24;12.73;70.01;1.98;0.00;1.41;0.00;0.00;8.06;115.50;35;4;10;5;7;8;8;5;7;0.00;0.04;0.00;0.000;0.00;4.57;0.23;0.00;0.62;47.92;17.56;16.37;12.79
1070;12.42;0.00;6.79;4.47;3.31;16.72;1.49;13.41;19.70;3.31;2.15;3.97;0.00;0.00;202.00;0.00;6.19;55.67;1.03;0.00;0.00;0.00;0.00;4.12;0.00;44;5;11;5;8;9;8;4;7;0.00;0.00;0.00;0.126;0.00;4.64;0.00;0.00;0.00;17.31;61.54;15.38;5.77
1071;1.71;0.00;4.57;1.18;5.30;20.89;0.00;29.74;28.48;0.04;0.00;0.08;0.00;0.69;317.57;1.27;9.81;81.01;0.32;0.00;0.32;0.00;0.00;7.28;143.54;40;4;10;5;7;8;8;5;7;0.00;0.00;0.00;0.001;0.00;0.00;0.00;0.00;0.25;56.92;20.76;17.69;4.62
1072;9.12;0.00;1.04;0.55;0.70;8.24;0.01;14.16;55.70;0.00;0.00;0.00;0.00;2.19;235.46;8.05;37.00;39.25;3.43;0.00;1.86;0.00;0.00;7.16;107.25;31;4;11;5;7;9;7;5;6;0.00;0.11;0.00;1.521;2.69;0.03;0.00;0.00;0.00;52.26;21.04;14.25;11.76
1073;4.40;0.00;1.34;0.29;1.34;32.13;0.00;20.19;32.51;0.00;0.00;0.00;0.00;1.30;364.72;6.29;14.37;69.16;4.79;0.00;0.00;0.00;0.00;5.39;143.09;38;3;10;5;6;8;7;5;6;0.00;0.00;0.00;0.000;2.00;0.04;0.00;0.00;0.00;55.36;28.57;5.36;10.72
1074;4.10;0.00;0.04;0.53;0.07;46.19;0.00;7.09;15.63;0.04;0.00;0.07;0.00;2.60;235.18;0.50;9.65;80.45;1.73;0.00;0.99;0.00;0.00;5.94;91.62;26;6;11;5;8;9;7;4;7;0.00;5.13;0.00;0.009;0.00;15.81;0.07;0.00;0.71;48.18;18.25;12.41;11.68
1075;8.88;0.00;6.14;0.58;9.19;25.05;0.00;10.40;28.39;0.11;0.00;0.39;0.00;2.18;268.01;2.87;13.41;70.31;4.21;0.00;0.00;0.00;0.00;7.28;153.55;38;4;10;5;7;8;7;5;6;0.00;0.00;0.00;0.000;2.00;0.05;0.18;0.00;0.00;61.37;13.63;9.09;14.77
1076;9.07;0.00;0.78;0.00;1.49;14.39;0.00;26.79;37.85;0.00;0.00;0.14;0.00;1.20;322.16;15.38;23.08;42.86;10.99;0.00;0.00;0.00;0.00;7.14;154.69;58;4;10;5;6;8;7;5;6;0.00;0.00;0.00;0.000;1.50;0.00;0.07;0.00;0.00;51.43;8.57;0.00;37.15
1077;10.46;0.00;0.00;1.63;0.11;30.39;0.00;13.40;27.23;0.44;0.44;0.00;0.00;2.51;328.35;3.85;24.62;69.23;0.00;0.00;0.00;0.00;0.00;2.31;117.28;35;5;10;5;7;8;8;5;7;0.00;0.11;1.00;6.118;1.00;29.41;0.00;0.00;1.00;45.71;20.00;21.43;12.86
1078;9.38;0.00;0.23;0.97;0.06;9.93;0.00;17.49;31.13;0.19;0.55;0.00;0.00;1.27;206.38;5.11;42.67;43.78;2.44;0.00;0.89;0.00;0.00;4.22;100.52;23;6;11;6;8;9;7;3;7;0.00;0.00;1.00;0.639;3.40;39.18;1.49;0.03;2.14;57.87;15.36;7.09;8.27
1079;0.01;0.00;0.00;0.01;0.44;18.56;2.63;13.34;2.67;0.00;0.00;0.00;0.00;4.91;598.66;61.21;7.54;2.91;5.61;0.00;4.96;0.00;0.00;16.38;43.44;4;1;8;3;5;6;5;7;6;0.00;40.66;0.00;0.003;0.00;0.00;0.00;0.00;0.00;54.03;12.26;10.73;14.18
1080;0.00;0.00;0.09;0.00;0.95;12.04;5.96;15.15;4.78;0.00;0.00;0.00;0.00;2.10;600.20;73.61;12.13;1.91;4.26;0.00;2.77;0.00;0.00;3.83;54.00;14;1;8;3;5;6;6;7;6;0.00;54.11;0.00;0.000;0.00;0.00;0.00;0.00;0.00;72.00;20.00;2.00;6.00
1081;0.00;0.00;0.00;0.00;0.00;0.05;0.05;1.32;0.00;0.00;0.00;0.00;0.00;7.11;518.43;67.80;4.17;3.41;9.85;0.00;8.33;0.00;0.00;5.68;40.83;2;2;9;4;5;6;5;6;6;0.00;86.26;0.00;0.000;0.00;0.00;0.00;0.00;0.00;16.21;2.70;2.70;40.54
1082;0.00;0.00;0.22;0.00;0.61;0.39;0.92;4.16;2.45;0.00;0.00;0.00;0.00;1.31;540.56;63.87;17.10;3.55;4.52;0.00;2.58;0.00;0.00;8.06;57.33;9;2;9;3;5;6;6;6;6;0.00;80.67;0.00;0.000;0.00;0.00;0.00;0.00;0.00;63.41;7.32;14.63;12.20
1083;0.00;0.00;0.00;0.00;0.00;27.52;12.78;14.52;1.63;0.00;0.00;0.00;0.00;13.35;578.33;57.64;2.89;0.62;8.26;0.00;16.74;0.00;0.00;9.92;34.82;1;2;9;3;5;6;5;6;6;0.00;18.97;0.00;0.000;0.00;0.00;0.00;0.00;0.00;49.29;27.85;15.71;4.29
1084;0.00;0.00;0.00;0.00;0.18;14.20;6.40;7.20;0.29;0.00;0.00;0.00;0.00;8.07;550.95;48.94;3.26;0.16;4.57;0.00;7.01;0.00;0.00;33.61;40.69;4;2;9;3;5;6;6;6;6;0.00;29.45;0.00;0.000;0.00;0.00;0.00;0.00;0.00;34.99;38.34;12.50;12.50
1085;5.29;0.00;1.26;0.34;4.29;0.84;0.00;22.77;26.22;0.00;0.00;0.34;0.00;0.25;475.00;28.57;22.73;16.23;0.65;0.00;0.00;0.00;0.00;31.82;0.00;24;3;10;4;7;7;6;5;7;0.00;0.42;0.00;0.133;0.00;3.03;0.00;0.00;0.00;51.41;31.95;10.07;1.61
1086;1.58;0.00;0.00;1.02;6.67;0.00;0.00;35.25;36.72;0.00;0.00;0.11;0.00;0.00;433.95;49.71;16.37;6.43;0.00;0.00;0.58;0.00;0.00;26.90;97.75;29;2;10;4;6;7;6;5;7;0.00;0.00;0.00;0.000;0.00;3.05;0.00;0.00;0.00;70.10;7.21;5.15;11.34
1087;0.00;0.00;1.75;0.65;7.84;0.60;0.35;51.60;23.53;0.00;0.00;1.95;0.00;0.45;491.99;59.12;21.90;12.41;0.73;0.00;1.46;0.00;0.00;3.65;83.39;18;2;9;4;6;7;6;5;7;0.00;0.85;0.00;0.000;0.00;0.00;0.00;0.00;0.00;28.79;15.16;40.91;13.64
1088;0.96;0.00;3.51;2.81;12.78;0.13;0.00;39.04;31.76;0.07;0.00;0.00;0.00;1.45;498.18;79.91;9.97;2.96;0.47;0.00;1.25;0.00;0.00;5.45;78.13;17;2;9;4;6;7;6;6;7;0.00;1.23;0.00;0.252;0.00;0.00;0.00;0.00;0.00;58.07;13.85;10.38;7.31
1089;0.00;0.00;0.00;0.00;2.89;0.00;0.00;38.67;46.75;0.00;0.00;0.00;0.00;1.73;440.44;91.58;3.16;0.00;1.05;0.00;3.16;0.00;0.00;1.05;53.34;13;2;9;4;6;7;6;5;7;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.00;84.85;12.12;3.03;0.00
1090;0.00;0.00;7.56;0.00;11.15;1.10;0.00;41.38;29.49;0.00;0.00;0.07;0.00;0.51;486.12;73.71;15.46;5.67;0.00;0.00;0.52;0.00;0.00;4.64;90.05;21;2;9;4;6;6;6;6;6;0.00;0.07;0.00;0.000;0.00;0.00;0.00;0.00;0.00;82.15;10.71;0.00;7.14
1091;1.45;0.00;2.04;2.21;9.01;11.65;0.00;26.36;42.60;0.00;0.00;0.00;0.00;0.00;591.62;60.84;4.82;31.93;0.00;0.00;0.00;0.00;0.00;1.81;134.75;50;1;8;3;4;6;7;7;6;0.00;1.87;0.00;0.000;0.00;0.00;1.36;0.00;0.00;55.47;15.63;12.50;14.07
1092;0.00;0.00;0.91;0.00;1.66;3.34;1.32;44.56;20.45;0.00;0.00;0.00;0.00;3.40;486.89;64.72;3.12;1.17;0.97;0.00;3.70;0.00;0.00;14.04;50.90;3;2;9;4;6;7;6;5;6;0.00;7.93;0.00;0.001;0.00;0.05;0.00;0.00;0.00;62.98;23.56;9.61;1.92
1093;0.00;0.00;5.02;0.00;14.80;0.64;0.00;58.94;5.73;0.00;0.00;0.00;0.00;1.87;494.81;73.83;7.48;2.80;0.93;0.00;0.93;0.00;0.00;7.94;57.24;16;2;9;4;6;7;6;5;6;0.00;1.09;0.00;0.000;0.00;0.00;0.00;0.00;0.00;83.47;11.81;3.93;0.79
1094;0.19;0.00;1.21;0.00;4.52;30.11;0.00;31.51;30.11;0.00;0.00;0.00;0.00;0.51;857.79;28.30;22.17;44.81;0.00;0.00;0.00;0.00;0.00;4.72;150.03;53;1;7;2;3;4;8;8;4;0.00;0.00;0.00;0.001;0.00;0.00;0.00;0.00;0.00;70.00;10.00;20.00;0.00
1095;0.00;0.00;0.00;0.00;1.47;20.29;1.04;47.93;22.80;0.00;0.00;0.00;0.00;2.76;547.06;75.66;3.29;9.21;3.29;0.00;2.63;0.00;0.00;3.29;73.25;17;1;8;3;4;5;7;7;5;0.00;0.17;0.00;0.124;0.00;0.35;0.00;0.00;0.00;6.95;4.17;76.39;12.50
1096;0.00;0.00;1.27;0.00;1.49;27.65;0.22;41.23;24.22;0.00;0.00;0.00;0.00;0.53;790.96;51.25;15.00;30.31;0.62;0.00;0.63;0.00;0.00;2.19;103.46;39;1;7;2;3;5;8;8;4;0.00;0.75;0.00;1.280;0.00;0.09;0.00;0.00;0.00;28.57;10.71;50.00;10.71
1097;0.00;0.00;0.00;0.00;0.00;28.63;1.78;30.25;35.08;0.00;0.00;0.00;0.00;1.02;816.75;39.25;12.45;38.87;4.53;0.00;1.13;0.75;0.00;3.02;119.08;41;1;6;2;2;4;8;8;4;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.00;81.82;18.18;0.00;0.00
1098;2.95;0.00;0.27;0.50;0.56;51.86;0.00;18.81;19.90;0.00;0.00;0.00;0.00;1.15;895.31;19.74;11.80;63.09;0.42;0.00;0.00;0.21;0.00;4.29;122.73;35;1;6;2;2;4;8;9;4;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.00;70.64;20.18;9.17;0.00
1099;6.03;0.00;0.05;2.66;4.23;3.80;0.00;41.69;34.20;0.00;0.16;0.38;0.00;2.39;622.45;48.77;19.67;21.72;4.92;0.00;0.41;0.00;0.00;3.28;123.31;46;2;8;3;5;6;7;7;6;0.00;0.00;0.00;0.000;0.00;0.33;0.00;0.00;0.00;77.78;16.66;5.56;0.00
1100;0.00;0.00;0.19;0.00;0.23;40.78;0.00;28.70;25.66;0.00;0.00;0.00;0.00;0.61;836.70;16.95;10.51;66.10;0.68;0.00;0.00;0.00;0.00;5.76;137.68;55;1;6;2;3;5;8;8;4;0.00;0.09;0.00;0.000;0.00;0.14;0.00;0.00;0.00;75.00;15.00;10.00;0.00
1101;0.00;0.00;0.30;0.00;0.59;48.96;0.00;26.57;17.90;0.00;0.00;0.00;0.00;0.47;841.77;15.95;9.31;66.47;1.33;0.00;0.00;0.00;0.00;6.94;89.79;41;1;6;2;2;4;7;8;4;0.00;0.55;0.00;0.000;0.00;0.00;0.00;0.00;0.00;53.06;6.12;6.12;20.40
1102;0.00;0.00;8.12;0.35;3.93;17.38;0.00;50.31;12.49;0.00;0.00;0.00;0.00;1.48;702.87;40.69;28.97;22.07;1.38;0.00;0.00;0.00;0.00;6.21;77.94;23;2;8;3;4;5;7;7;5;0.00;0.87;0.00;0.000;0.00;0.00;0.00;0.00;0.00;77.79;18.52;3.70;0.00
1103;0.40;0.00;0.00;0.00;1.21;30.06;0.00;42.71;13.16;0.00;0.00;0.00;0.00;0.00;681.11;17.91;29.10;45.52;4.48;0.00;0.00;0.00;0.00;2.99;109.12;46;3;8;3;4;5;5;6;5;0.00;8.40;0.00;0.000;0.00;0.00;0.00;0.00;0.00;88.88;3.70;7.41;0.00
1104;0.04;0.00;1.10;0.25;1.85;13.41;0.46;61.92;12.85;0.00;0.00;0.04;0.00;2.73;753.16;21.56;22.08;51.43;0.78;0.00;0.52;0.00;0.00;3.38;74.51;16;2;7;3;3;5;6;6;5;0.00;1.45;0.00;0.000;0.00;0.00;0.00;0.00;0.00;82.02;14.60;1.12;2.25
1105;0.22;0.00;7.91;0.00;13.59;5.46;0.00;48.55;13.59;0.00;0.00;0.00;0.00;0.22;454.79;55.75;23.01;9.73;7.96;0.00;0.88;0.00;0.00;2.65;115.29;38;2;9;4;5;6;6;6;6;0.00;0.00;0.00;0.001;0.00;1.22;0.00;0.00;0.00;36.36;0.00;48.48;12.12
1106;0.03;0.00;0.58;0.00;4.22;46.23;0.00;25.26;3.19;0.00;0.00;0.00;0.00;1.34;631.04;64.72;15.48;7.61;2.79;0.00;1.27;0.00;0.00;7.61;75.30;13;3;8;3;4;6;4;5;5;0.00;11.60;0.00;0.000;0.00;0.00;0.00;0.00;0.00;53.70;0.00;0.00;37.03
1107;0.00;0.00;0.12;0.00;0.99;24.78;0.00;49.50;10.29;0.00;0.00;0.00;0.00;1.80;705.03;57.73;22.27;8.18;1.82;0.00;0.45;0.00;0.00;9.55;71.51;29;3;7;3;3;6;4;5;5;0.00;1.12;0.00;0.000;0.00;0.00;0.00;0.00;0.00;70.00;11.67;6.66;10.00
1108;0.06;0.00;0.28;0.28;0.11;7.07;0.00;54.57;22.55;0.00;0.00;0.00;0.00;1.34;619.05;53.25;28.05;4.47;3.66;0.00;0.81;0.00;0.00;9.76;111.25;29;3;8;3;4;6;4;5;6;0.00;0.67;0.00;0.000;0.00;0.00;0.00;0.00;0.00;69.00;23.00;7.00;1.00
1109;1.60;0.00;0.06;0.32;0.90;19.74;0.00;48.01;17.37;0.00;0.00;0.00;0.00;1.35;650.12;41.90;21.90;22.86;7.62;0.00;0.00;0.00;0.00;5.71;97.16;30;3;8;3;4;6;6;5;6;0.00;1.09;0.00;0.000;0.00;0.00;0.00;0.00;0.00;60.94;31.25;4.69;3.13
1110;0.00;0.00;1.97;2.78;8.15;34.21;1.21;29.11;7.25;0.00;0.13;0.00;0.00;1.12;606.98;47.80;33.56;3.73;1.02;0.00;1.02;0.00;0.00;12.88;81.01;27;3;8;3;4;6;5;5;6;0.00;1.48;0.00;0.000;0.00;0.00;0.00;0.00;0.00;51.61;17.20;7.53;22.58
1111;0.10;0.00;0.13;0.80;0.83;11.37;0.00;50.62;12.64;0.00;0.00;0.00;0.00;2.04;642.90;50.24;31.04;3.55;1.42;0.00;0.47;0.00;0.00;13.27;82.41;25;3;8;3;4;6;4;5;6;0.00;7.13;0.00;0.000;0.00;0.00;0.00;0.00;0.00;71.13;19.83;7.33;1.29
1112;0.22;0.00;0.00;0.22;0.71;14.10;2.52;29.18;8.67;0.05;0.00;0.99;0.00;1.97;358.57;22.34;14.51;11.37;9.81;0.00;0.00;0.00;0.00;36.47;85.51;16;3;10;4;7;8;7;5;7;0.00;5.87;1.00;0.004;0.00;0.16;0.00;0.00;1.00;67.77;17.36;3.31;0.00
1113;0.59;0.00;0.43;0.59;1.25;4.14;0.39;45.46;32.15;0.00;0.00;0.00;0.00;1.87;655.00;54.57;18.27;4.81;11.78;0.00;0.96;0.00;0.00;8.17;84.17;37;2;8;3;4;6;7;7;6;0.00;2.01;0.00;0.002;0.00;1.08;0.00;0.00;1.00;63.83;15.58;12.06;8.04
1114;0.83;0.00;2.01;0.43;5.83;14.78;1.73;30.00;16.08;0.00;0.00;0.86;0.04;2.16;534.14;64.36;14.10;2.39;9.57;0.00;0.80;0.00;0.00;6.91;81.61;24;2;9;4;5;6;7;6;6;0.00;16.08;0.00;0.024;0.00;0.76;0.00;0.00;1.00;64.86;14.87;16.22;4.05
1115;1.07;0.00;1.29;0.90;1.18;5.62;0.00;44.43;33.13;0.00;0.00;0.00;0.22;1.52;597.00;60.08;14.29;4.20;7.14;0.00;0.42;0.00;0.00;11.76;86.56;27;2;8;3;4;6;7;7;6;0.00;0.34;0.00;0.000;0.00;0.00;0.00;0.00;0.00;83.54;7.93;6.71;1.83
1116;0.09;0.00;1.99;1.70;2.79;9.41;1.04;47.04;23.55;0.00;0.00;0.24;0.00;1.51;660.84;67.47;15.92;2.77;7.26;0.00;0.00;0.00;0.00;6.23;76.74;25;2;8;3;4;6;7;7;6;0.00;2.55;0.00;0.000;0.00;0.38;0.00;0.00;1.00;76.10;12.38;9.73;0.00
1117;0.27;0.00;2.23;1.99;1.60;8.28;1.25;46.20;20.08;0.00;0.00;0.00;0.00;2.30;600.62;67.15;5.19;1.15;14.69;0.00;0.58;0.00;0.00;9.80;62.55;7;2;8;3;4;6;7;6;6;0.00;4.22;0.00;0.004;0.00;0.00;0.00;0.00;0.00;67.47;10.68;4.86;15.05
1118;0.63;0.00;0.00;0.00;0.21;8.45;0.21;60.41;23.84;0.00;0.00;0.00;0.00;1.62;637.15;83.68;8.79;0.00;3.35;0.00;0.42;0.00;0.00;2.93;67.00;7;3;8;3;4;6;5;6;6;0.00;0.37;0.00;0.000;0.00;0.00;0.00;0.00;0.00;83.93;10.71;5.36;0.00
1119;0.51;0.00;0.00;0.23;0.11;8.25;1.41;58.19;22.54;0.00;0.00;0.00;0.00;2.26;627.48;77.50;10.83;0.00;4.59;0.00;0.83;0.00;0.00;5.42;65.94;11;2;8;3;4;6;5;6;6;0.00;0.06;0.00;0.000;0.00;0.06;0.00;0.00;0.00;94.99;3.33;1.67;0.00
1120;0.23;0.00;0.00;0.31;0.38;9.33;0.38;44.19;28.36;0.00;0.00;0.00;0.00;1.22;610.02;57.71;21.71;8.57;2.86;0.00;1.14;0.00;0.00;6.86;84.56;26;2;8;3;4;6;6;6;6;0.00;7.49;0.00;0.000;0.00;0.00;0.00;0.00;0.00;80.00;11.00;5.00;4.00
1121;0.62;0.00;0.07;0.55;2.01;6.57;0.00;34.39;38.13;0.00;0.21;0.00;0.00;2.08;649.37;63.68;24.38;1.00;4.48;0.00;0.00;0.00;0.00;6.47;84.05;24;2;8;3;4;6;7;6;6;0.00;10.17;0.00;0.000;0.00;0.00;0.00;0.00;0.50;85.92;5.64;0.00;7.04
1122;0.69;0.00;1.92;2.65;3.75;7.54;24.41;29.89;17.82;0.05;0.37;0.09;0.00;1.28;472.69;53.45;13.52;4.09;20.12;0.00;0.31;0.00;0.00;5.66;0.00;46;4;9;4;5;7;4;4;6;0.00;3.84;0.00;0.000;0.00;0.05;0.00;0.00;0.00;13.42;6.04;12.75;53.02
1123;0.08;0.00;0.72;0.70;1.47;23.88;1.99;44.52;9.72;0.00;0.00;0.13;0.00;2.02;643.18;68.40;15.22;1.16;3.66;0.00;0.39;0.00;0.00;10.98;61.56;18;3;8;3;4;6;4;5;6;0.00;4.06;0.00;0.000;0.00;0.00;0.00;0.00;0.00;64.40;16.38;5.64;8.47
1124;1.96;0.00;0.68;3.02;1.21;8.38;0.68;39.40;30.34;0.00;0.00;0.00;0.00;1.43;510.54;65.71;10.29;4.57;7.42;0.00;1.71;0.00;0.00;8.57;78.67;33;2;9;4;5;6;7;7;6;0.00;3.62;0.00;0.000;0.00;0.00;0.00;0.00;0.00;77.97;11.86;0.00;0.00
1125;3.58;0.00;0.87;0.82;0.67;1.64;0.00;50.00;27.23;0.00;0.00;0.00;0.00;4.20;523.07;63.43;4.10;0.37;20.89;0.00;1.49;0.00;0.00;7.84;81.46;24;2;8;3;4;6;7;7;6;0.00;3.22;0.00;0.000;0.00;0.00;0.00;0.00;0.00;82.89;8.55;8.55;0.00
1126;1.69;0.00;0.31;1.82;0.69;2.26;0.00;54.76;21.49;0.00;0.69;1.00;0.00;3.13;456.81;68.28;10.57;3.52;3.08;0.00;2.20;0.00;0.00;12.33;88.96;30;2;10;4;6;7;6;5;7;0.00;0.00;1.00;0.249;0.00;0.25;0.00;0.00;0.00;35.95;5.47;36.72;20.31
1127;1.55;0.00;0.27;1.55;0.62;4.09;0.00;40.50;34.99;0.22;0.49;1.42;0.00;2.35;544.95;75.43;11.42;4.15;0.69;0.00;2.42;0.00;0.00;5.88;92.46;38;2;8;3;5;6;7;7;6;0.00;1.07;1.00;0.000;0.00;0.62;0.00;0.00;0.00;68.05;11.81;12.50;7.64
1128;0.47;0.00;0.00;0.07;0.07;7.06;0.00;44.37;33.99;0.00;0.34;1.56;0.00;2.17;528.94;59.28;21.13;11.86;0.00;0.00;2.06;0.00;0.00;5.67;89.88;31;2;8;3;5;6;7;7;6;0.00;1.49;0.00;0.000;0.00;0.27;0.00;0.00;0.00;80.00;18.18;0.00;1.82
1129;0.25;0.00;0.00;0.00;0.00;1.48;0.00;58.46;25.21;0.00;0.00;0.00;0.00;3.12;438.52;53.29;16.77;2.40;13.78;0.00;4.19;0.00;0.00;5.99;75.07;6;2;9;4;5;6;7;6;6;0.00;2.13;0.00;0.000;0.00;0.49;0.00;0.00;0.00;88.30;9.57;2.12;0.00
1130;0.67;0.00;5.21;0.11;3.96;24.55;0.11;17.03;27.35;0.06;0.00;0.00;0.00;0.08;648.29;39.39;8.32;40.64;2.78;0.00;0.28;0.00;0.00;7.77;103.80;31;3;8;3;4;6;6;5;6;0.00;12.98;0.00;10.732;0.00;0.00;0.00;0.00;0.00;37.85;12.14;31.43;16.42
1131;0.13;0.00;0.51;0.10;5.09;42.48;0.00;19.99;15.10;0.00;0.00;0.00;0.00;0.03;717.87;17.25;8.75;58.25;2.75;0.00;0.00;0.00;0.00;12.50;110.86;41;3;8;3;4;6;4;5;6;0.00;3.03;0.00;5.519;0.00;0.00;0.00;0.00;0.00;56.75;21.62;16.22;5.40
1132;0.00;0.00;1.81;0.00;6.46;24.65;0.00;29.30;12.01;0.00;0.00;0.00;0.00;0.16;628.11;39.76;11.02;39.76;2.36;0.00;0.00;0.00;0.00;7.09;95.92;26;3;8;3;4;6;5;5;6;0.00;20.92;0.00;0.000;0.00;0.00;0.00;0.00;0.00;44.00;36.00;20.00;0.00
