CLE;V_CAL;V_KAA;V_RHG;V_VAAM
510;0.00000;1.58333;0.16667;2.25000
511;0.00000;0.23529;0.00000;2.58824
512;0.00000;0.00000;0.27273;0.09091
513;0.00000;0.00000;0.00000;0.50000
514;0.00000;0.00000;0.00000;0.40000
515;0.00000;0.00000;0.11111;9.77778
516;0.00000;0.25000;0.00000;0.00000
517;0.00000;9.37500;0.50000;6.62500
518;0.00000;1.54545;0.27273;4.45455
519;0.00000;1.05882;0.00000;2.00000
520;0.00000;0.00000;0.60000;0.20000
521;0.00000;0.11111;0.22222;7.22222
522;0.00000;0.00000;0.00000;0.50000
523;0.00000;0.00000;0.14286;0.71429
524;0.00000;0.00000;0.08333;0.08333
525;0.00000;0.00000;0.01754;0.24561
526;0.00000;0.00000;0.00000;0.36667
527;0.00000;0.00000;0.00000;0.15000
528;0.00000;0.00000;0.02778;0.66667
529;0.00000;0.00000;0.11111;0.00000
530;0.00000;0.00000;0.00000;4.37500
531;0.00000;0.16667;0.00000;0.16667
532;0.00000;0.00000;0.00000;3.22222
533;0.00000;0.00000;0.00000;1.55882
534;0.00000;0.02041;0.02041;0.20408
535;0.00000;0.00000;0.00000;0.87500
536;0.00000;0.00000;0.18750;5.62500
537;0.00000;1.77273;0.40909;13.72727
538;0.00000;0.00000;0.06250;0.18750
539;0.00000;0.00000;0.00000;0.12500
540;0.00000;0.02778;0.02778;1.52778
541;0.00000;0.30000;0.10000;9.10000
542;0.00000;0.04706;0.17647;7.67059
543;0.00000;2.00000;1.26923;5.92308
544;3.00000;10.36364;5.72727;5.81818
545;2.83333;3.83333;18.77778;5.25000
546;0.50000;2.00000;26.00000;7.16667
547;0.00000;2.16667;14.00000;3.83333
548;10.71429;13.28571;43.14286;12.85714
549;0.00000;17.66667;3.16667;9.50000
550;0.00000;0.85714;1.28571;2.85714
551;0.00000;5.00000;15.00000;6.00000
552;0.12000;1.52000;8.24000;7.40000
553;0.00000;8.75000;7.04167;9.25000
554;0.00000;0.66667;0.50000;2.66667
