"","CLE","AB","BA","BP","BP_AB","BP_PM","H","PB","PM","PM_AB","PT","PT_AB","PT_PM","TO","BOG","ALTI","D_1A","D_1AR","D_R","D_2","D_4GA","D_7","D_8","D_8AR","D_WA","ELE","P_DEF","ARI","DWFC","EVA","GDD","MAT","PRECT","PRECU","VPD","AG","BR","FT","HF","HL","LOG","SBOM","SBOS","SBON","O1700","O1880","O1900","O1920","rf_index","Forest_Type","RainFall"
"38",38,0.49,0,5.54,1.17,3.98,0.68,24.88,39.84,0.68,0.49,1.85,9.52,0,2.82,324.8,23.33,13.33,26,0,32,3.33,0,0,0.67,37.41,0,3,9,6,8,9,5,5,9,0,0,1,0.003,0,34.6,7.39,0.29,0.75,15.79,17.55,43.86,22.81,"H_c","c","H"
"39",39,0.09,0,3.63,1.41,3.3,1.13,12.91,41.97,0.57,1.74,0.61,7.35,0,3.67,301.56,4.56,5.54,5.86,0.33,78.83,3.91,0,0,0.98,32.81,3,3,9,6,8,9,5,5,9,0,3.2,1,0.001,0,53.51,2.12,0,1.4,47.19,23.6,3.37,0,"H_c","c","H"
"40",40,1.12,0,0.71,0.45,0.74,0.04,10.96,28.44,1.66,5.83,0.53,9.98,0,6.23,298.6,0.37,0.33,0.22,0.11,87.83,7.97,0,0,2.52,19.72,0,4,9,7,9,9,5,5,9,2.33,0.84,3.22,5.546,1,44.85,1.06,0.19,2.53,9.38,5.32,13.08,27.41,"H_c","c","H"
"41",41,0.75,0,0.67,0.07,0.95,0.07,9.75,33.58,0.88,5.14,0.02,6.76,0,7.12,294.77,2.31,1.63,0.61,0.76,80.14,9.42,0,0,1.63,16.84,0,4,10,7,9,9,5,5,9,2.1,1.64,3.6,6.607,1,50.31,1.67,0.53,2.19,16.26,7.17,11.71,25.25,"H_c","c","H"
"42",42,0,0,2.19,2.1,3.59,0.09,6.22,34.24,1.31,0.7,0,9.54,0,17.08,303.78,4.32,14.81,2.47,6.79,24.69,28.4,0,0,3.7,19.4,0,4,10,7,9,9,5,5,9,0,1.66,2.75,0,1,8.76,4.82,0.88,2.25,16.89,16.88,19.48,27.27,"H_c","c","H"
"43",43,1.09,0,0.32,0,0.58,0,9.44,29.16,4.24,3.53,0.13,7.84,0,9.06,286.51,0.91,0,0,0.45,75,13.18,0,0,0.91,11.65,0,4,10,7,9,9,5,5,9,0,0,3.17,0.551,1,67.82,1.16,0.19,2,9.57,13.97,7.35,17.64,"H_c","c","H"
"44",44,1.51,0,1.23,0.62,1.87,0.19,5.43,32.11,1.39,1.11,0.02,4.63,0.02,24.55,306.33,1.33,1.45,0.85,5.43,46.98,22.83,0,0,3.86,12.55,0,4,10,7,9,9,5,5,9,0,0.33,4.93,0.828,1,36.89,3.02,0.63,3.21,23.01,12.28,17.14,16.11,"H_c","c","H"
"45",45,1.31,0,3.07,0,6.13,0.99,10.19,49.62,0.55,1.86,0,5.7,0,8.87,326.57,49.6,18.4,4,0.8,16.8,8,0,0,2.4,27.94,0,4,10,7,9,9,5,5,9,0,0,3,0,1,36.69,8,3.07,2,41.17,14.7,7.35,30.88,"H_c","c","H"
"46",46,1.24,0,1.17,0.07,2.05,0.07,17.12,40.09,2.12,5.05,0,7.9,0,8.78,319.67,2.06,3.61,1.55,0.52,56.19,13.92,0,0,1.55,20.91,0,4,10,7,9,9,5,5,9,0,1.02,4.8,13.14,1,33.8,1.98,0.66,3,17.86,16.07,35.72,14.28,"H_c","c","H"
"47",47,0.07,0.14,10.61,0,10.2,0.07,13.46,27.19,0,1.7,0,1.22,0,8.7,322.63,0.44,23.79,11.45,3.52,12.33,13.66,0,0,18.94,26.89,0,5,10,7,10,10,5,5,10,0,0.07,4.33,0.008,1.67,6.12,11.01,4.21,11.67,8.69,5.07,5.8,52.9,"H_c","c","H"
